,equity
2023-07-20 00:00:00-04:00,131408.04290000006
2023-07-21 00:00:00-04:00,129590.95290000006
2023-07-24 00:00:00-04:00,127179.33290000004
2023-07-25 00:00:00-04:00,127921.67290000003
2023-07-26 00:00:00-04:00,130056.11290000007
2023-07-27 00:00:00-04:00,132852.81290000005
2023-07-28 00:00:00-04:00,133406.62290000005
2023-07-31 00:00:00-04:00,133792.30290000004
2023-08-01 00:00:00-04:00,132328.99290000004
2023-08-02 00:00:00-04:00,134544.00290000005
2023-08-03 00:00:00-04:00,136423.58290000007
2023-08-04 00:00:00-04:00,136147.55290000004
2023-08-07 00:00:00-04:00,136413.53290000005
2023-08-08 00:00:00-04:00,136721.14290000004
2023-08-09 00:00:00-04:00,137068.95290000003
2023-08-10 00:00:00-04:00,137068.95290000003
2023-08-11 00:00:00-04:00,136816.77290000004
2023-08-14 00:00:00-04:00,136243.86290000004
2023-08-15 00:00:00-04:00,135314.45290000006
2023-08-16 00:00:00-04:00,133456.07290000006
2023-08-17 00:00:00-04:00,133672.17290000003
2023-08-18 00:00:00-04:00,132693.80290000004
2023-08-21 00:00:00-04:00,134567.91290000005
2023-08-22 00:00:00-04:00,134464.90290000007
2023-08-23 00:00:00-04:00,131504.83290000004
2023-08-24 00:00:00-04:00,127038.00298000005
2023-08-25 00:00:00-04:00,127294.27883000002
2023-08-28 00:00:00-04:00,128767.84883000006
2023-08-29 00:00:00-04:00,130684.86247000004
2023-08-30 00:00:00-04:00,131157.07047000004
2023-08-31 00:00:00-04:00,129819.78047000003
2023-09-01 00:00:00-04:00,123865.34047000002
2023-09-04 00:00:00-04:00,124239.40605500003
2023-09-05 00:00:00-04:00,123066.10605500004
2023-09-06 00:00:00-04:00,124388.20605500005
2023-09-07 00:00:00-04:00,121886.40605500006
2023-09-08 00:00:00-04:00,123620.40605500003
2023-09-11 00:00:00-04:00,124395.85605500004
2023-09-12 00:00:00-04:00,125711.55605500002
2023-09-13 00:00:00-04:00,125204.50605500003
2023-09-14 00:00:00-04:00,124097.75605500003
2023-09-15 00:00:00-04:00,123659.60605500001
2023-09-18 00:00:00-04:00,124511.10605500004
2023-09-19 00:00:00-04:00,127114.65605500003
2023-09-20 00:00:00-04:00,128359.52156000002
2023-09-21 00:00:00-04:00,129934.12156000003
2023-09-22 00:00:00-04:00,131794.03156000003
2023-09-25 00:00:00-04:00,132112.98156000001
2023-09-26 00:00:00-04:00,133183.88156000004
2023-09-27 00:00:00-04:00,132016.75156000003
2023-09-28 00:00:00-04:00,133931.52156000005
2023-09-29 00:00:00-04:00,134432.95156000002
2023-10-02 00:00:00-04:00,134174.17156000002
2023-10-03 00:00:00-04:00,136745.31156000003
2023-10-04 00:00:00-04:00,137617.26156000004
2023-10-05 00:00:00-04:00,138264.31156000003
2023-10-06 00:00:00-04:00,139299.73156000001
2023-10-09 00:00:00-04:00,141418.59156000006
2023-10-10 00:00:00-04:00,143665.20156000004
2023-10-11 00:00:00-04:00,144228.86156000002
2023-10-12 00:00:00-04:00,144160.14156000005
2023-10-13 00:00:00-04:00,142235.17018000007
2023-10-16 00:00:00-04:00,138379.85018
2023-10-17 00:00:00-04:00,138896.69018000003
2023-10-18 00:00:00-04:00,141929.77018000005
2023-10-19 00:00:00-04:00,141949.49018000002
2023-10-20 00:00:00-04:00,143825.57018000004
2023-10-23 00:00:00-04:00,143500.49018000002
2023-10-24 00:00:00-04:00,145842.61018000002
2023-10-25 00:00:00-04:00,146495.57018000004
2023-10-26 00:00:00-04:00,144007.77018000005
2023-10-27 00:00:00-04:00,143454.49018000002
2023-10-30 00:00:00-04:00,144457.33018000005
2023-08-03 00:00:00-04:00,130274.89018000005
2023-08-04 00:00:00-04:00,130291.72558000003
2023-08-07 00:00:00-04:00,130419.07558000003
2023-08-08 00:00:00-04:00,130570.84558000002
2023-08-09 00:00:00-04:00,130735.66558000003
2023-08-10 00:00:00-04:00,130735.66558000003
